C1;H1;14.529;1.912;1.0
C2;H2;-7.955;0.455;1.0
C3;H3;-21.067;0.313;1.0
C4;H4a;-4.081;0.007;1.0
C4;H4s;-5.345;0.252;1.0
C5;H5;4.102;0.261;1.0
C7;H7a;5.646;0.213;1.0
C7;H7s;-3.564;0.328;1.0
C8;C6;0.737;0.559;1.0
C9;C6;-1.924;0.242;1.0
C10;C2;-1.137;0.667;1.0
H1;H2;5.046;0.100;1.0
H1;H3;0.518;0.100;1.0
H1;H4a;0.925;0.100;1.0
H1;H4s;0.671;0.100;1.0
H1;H5;0.853;0.100;1.0
H1;H7a;1.315;0.100;1.0
H1;H7s;-2.936;0.100;1.0
H2;H3;-1.879;0.100;1.0
H2;H4a;1.603;0.100;1.0
H2;H4s;0.182;0.100;1.0
H2;H7a;-4.074;0.100;1.0
H2;H7s;0.000;0.100;1.0
H3;H4a;-3.228;0.100;1.0
H3;H4s;1.155;0.100;1.0
H3;H5;-0.594;0.100;1.0
H3;H7a;-1.937;0.100;1.0
H3;H7s;-0.681;0.100;1.0
H4a;H4s;-14.97;0.100;1.0
H4a;H5;4.28;0.100;1.0
H4a;H7a;1.59;0.100;1.0
H4a;H7s;1.19;0.100;1.0
H4s;H5;-1.79;0.100;1.0
H4s;H7a;-0.86;0.100;1.0
H4s;H7s;-0.25;0.100;1.0
H5;H7a;0.99;0.100;1.0
H5;H7s;0.94;0.100;1.0
H7a;H7s;12.34;0.100;1.0
