C1;H1;8.81;0.5;1.0
C2;H2;-12.66;0.5;1.0
C2;C10;-0.03;0.5;1.0
C3;H3;2.76;0.5;1.0
C4;H4a;-3.40;0.5;1.0
C4;H4s;-1.94;0.5;1.0
C5;H5;-7.38;0.5;1.0
C6;C8;0.69;0.5;1.0
C6;C9;0.22;0.5;1.0
C7;H7a;-9.59;0.5;1.0
C7;H7s;13.42;0.5;1.0
H1;H2;0.90;0.5;1.0
H1;H3;1.25;0.5;1.0
H1;H4a;0.45;0.5;1.0
H1;H4s;0.43;0.5;1.0
H1;H5;-0.21;0.5;1.0
H1;H7a;0.14;0.5;1.0
H1;H7s;-0.26;0.5;1.0
H2;H3;0.35;0.5;1.0
H2;H4a;-0.34;0.5;1.0
H2;H4s;-0.51;0.5;1.0
H2;H7a;-0.22;0.5;1.0
H2;H7s;0.11;0.5;1.0
H3;H4a;0.10;0.5;1.0
H3;H4s;-2.53;0.5;1.0
H3;H5;0.21;0.5;1.0
H3;H7a;0.67;0.5;1.0
H3;H7s;0.58;0.5;1.0
H4a;H4s;-7.60;0.5;1.0
H4a;H5;-0.01;0.5;1.0
H4a;H7a;3.19;0.5;1.0
H4a;H7s;1.69;0.5;1.0
H4s;H5;4.45;0.5;1.0
H4s;H7a;0.25;0.5;1.0
H4s;H7s;0.86;0.5;1.0
H5;H7a;-3.02;0.5;1.0
H5;H7s;0.39;0.5;1.0
H7a;H7s;2.64;0.5;1.0
