C1;H1;10.24;0.5;1.0
C2;H2;-7.50;0.5;1.0
C2;C10;0.25;0.5;1.0
C3;H3;7.47;0.5;1.0
C4;H4a;-4.70;0.5;1.0
C4;H4s;7.71;0.5;1.0
C5;H5;-3.76;0.5;1.0
C6;C8;-0.49;0.5;1.0
C6;C9;0.70;0.5;1.0
C7;H7a;-14.82;0.5;1.0
C7;H7s;5.13;0.5;1.0
H1;H2;-3.16;0.5;1.0
H1;H3;0.93;0.5;1.0
H1;H4a;0.38;0.5;1.0
H1;H4s;0.60;0.5;1.0
H1;H5;0.39;0.5;1.0
H1;H7a;-0.19;0.5;1.0
H1;H7s;0.75;0.5;1.0
H2;H3;2.12;0.5;1.0
H2;H4a;0.64;0.5;1.0
H2;H4s;0.27;0.5;1.0
H2;H7a;0.12;0.5;1.0
H2;H7s;-0.62;0.5;1.0
H3;H4a;0.66;0.5;1.0
H3;H4s;-0.75;0.5;1.0
H3;H5;-0.10;0.5;1.0
H3;H7a;0.85;0.5;1.0
H3;H7s;0.41;0.5;1.0
H4a;H4s;-2.35;0.5;1.0
H4a;H5;-3.99;0.5;1.0
H4a;H7a;4.42;0.5;1.0
H4a;H7s;0.98;0.5;1.0
H4s;H5;1.95;0.5;1.0
H4s;H7a;1.07;0.5;1.0
H4s;H7s;0.91;0.5;1.0
H5;H7a;-1.56;0.5;1.0
H5;H7s;3.16;0.5;1.0
H7a;H7s;-9.53;0.5;1.0
