N20;H29;8,17;0,10;0,98;2
N37;H45;-8,27;0,10;0,98;3
N56;H67;-10,49;0,10;0,98;4
N76;H83;-9,87;0,10;0,98;5
N92;H101;-9,15;0,10;0,98;6
N114;H121;-3,7;0,10;0,98;7
N128;H136;-6,46;0,10;0,98;8
N168;H177;7,53;0,10;0,98;11
N190;H197;-7,38;0,10;0,98;12
N204;H212;-6,95;0,10;0,98;13
N223;H230;-9,71;0,10;0,98;14
N237;H245;-9,85;0,10;0,98;15
N256;H265;-0,04;0,10;0,98;17
N287;H296;10,51;0,10;0,98;18
N316;H322;4,07;0,10;0,98;20
N327;H335;-2,12;0,10;0,98;21
N353;H361;-9,1;0,10;0,98;23
N387;H395;-2,95;0,10;0,98;25
N417;H426;-8,22;0,10;0,98;27
N439;H444;-1,5;0,10;0,98;28
N449;H458;-7,18;0,10;0,98;29
N471;H479;-8,71;0,10;0,98;30
N507;H515;-1,26;0,10;0,98;32
N519;H528;-8,26;0,10;0,98;33
N541;H550;-6,53;0,10;0,98;34
N556;H560;12,5;0,10;0,98;35
N563;H571;13,88;0,10;0,98;36
N622;H631;-1,94;0,10;0,98;40
N639;H648;-7,87;0,10;0,98;41
N656;H667;-5,72;0,10;0,98;42
N680;H688;-7,68;0,10;0,98;43
N699;H707;-7,98;0,10;0,98;44
N718;H729;-4,24;0,10;0,98;45
N748;H752;-9,05;0,10;0,98;47
N755;H764;10,83;0,10;0,98;48
N777;H786;-3,5;0,10;0,98;49
N794;H802;-5,86;0,10;0,98;50
N813;H822;6,79;0,10;0,98;51
N828;H836;16,98;0,10;0,98;52
N840;H844;6,3;0,10;0,98;54
N871;H878;-6,76;0,10;0,98;55
N885;H893;-11,02;0,10;0,98;56
N915;H923;-7,86;0,10;0,98;58
N927;H939;-10,4;0,10;0,98;59
N948;H956;-7,36;0,10;0,98;60
N962;H970;-6,91;0,10;0,98;61
N981;H990;-2,51;0,10;0,98;62
N998;H1007;11,05;0,10;0,98;63
N1020;H1029;-10,72;0,10;0,98;64
N1035;H1041;-4,03;0,10;0,98;65
N1046;H1053;-11,32;0,10;0,98;66
N1060;H1068;-9,85;0,10;0,98;67
N1079;H1089;-8,74;0,10;0,98;68
N1115;H1122;-4,55;0,10;0,98;70
N1131;H1139;-6,23;0,10;0,98;71
N1193;H1204;-5,46;0,10;0,98;74
N1224;H1229;-1,12;0,10;0,98;76
